Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2024-08-29T04:00:00.000000+0000,165.267,166.829,161.208,162.619,17133800.0,163.714,165.585,167.128,5.621,4.09,2.075,3.045,2.647,2.269,1.224,0.224,15208700.0,13718200.0,11990300.0,164.918,165.373,165.584,-0.006709371865270845,0
2024-08-30T04:00:00.000000+0000,163.435,164.49,162.629,164.321,18498800.0,162.619,163.714,165.585,1.861,5.621,4.09,2.075,-0.886,2.647,2.269,1.224,17133800.0,15208700.0,13718200.0,163.769,164.566,165.112,0.010410816892035867,1
2024-09-03T04:00:00.000000+0000,162.535,162.599,157.101,157.852,26533100.0,164.321,162.619,163.714,5.499,1.861,5.621,4.09,4.683,-0.886,2.647,2.269,18498800.0,17133800.0,15208700.0,164.045,164.495,164.986,-0.04016358171129121,0
2024-09-04T04:00:00.000000+0000,157.32,159.634,156.688,157.056,17410700.0,157.852,164.321,162.619,2.946,5.499,1.861,5.621,0.264,4.683,-0.886,2.647,26533100.0,18498800.0,17133800.0,160.949,162.549,163.851,-0.005056648283757138,0
2024-09-05T04:00:00.000000+0000,157.026,160.246,156.767,157.842,14139500.0,157.056,157.852,164.321,3.478,2.946,5.499,1.861,-0.816,0.264,4.683,-0.886,17410700.0,26533100.0,18498800.0,159.002,160.94,162.77,0.0049935240223710564,1
2024-09-06T04:00:00.000000+0000,157.932,158.459,151.209,151.403,24999100.0,157.842,157.056,157.852,7.25,3.478,2.946,5.499,6.529,-0.816,0.264,4.683,14139500.0,17410700.0,26533100.0,158.422,160.033,161.986,-0.0416498863855809,0
2024-09-09T04:00:00.000000+0000,153.097,154.104,147.686,149.021,28057700.0,151.403,157.842,157.056,6.418,7.25,3.478,2.946,4.076,6.529,-0.816,0.264,24999100.0,14139500.0,17410700.0,154.913,157.505,160.302,-0.015855984078217606,0
2024-09-10T04:00:00.000000+0000,150.925,151.772,149.024,149.49,20401800.0,149.021,151.403,157.842,2.747,6.418,7.25,3.478,1.435,4.076,6.529,-0.816,28057700.0,24999100.0,14139500.0,151.967,155.02,158.507,0.003138031959076076,1
2024-09-11T04:00:00.000000+0000,150.566,151.951,148.184,151.622,18991500.0,149.49,149.021,151.403,3.767,2.747,6.418,7.25,-1.056,1.435,4.076,6.529,20401800.0,28057700.0,24999100.0,150.728,153.401,157.073,0.014164847119614982,1
2024-09-12T04:00:00.000000+0000,154.273,155.07,152.968,155.001,21024100.0,151.622,149.49,149.021,2.103,3.767,2.747,6.418,-0.727,-1.056,1.435,4.076,18991500.0,20401800.0,28057700.0,151.175,152.88,156.206,0.022036095220663243,1
2024-09-13T04:00:00.000000+0000,155.82,158.723,155.569,157.821,16733900.0,155.001,151.622,149.49,3.154,2.103,3.767,2.747,-2.001,-0.727,-1.056,1.435,21024100.0,18991500.0,20401800.0,153.088,153.501,156.014,0.01803116067364915,1
2024-09-16T04:00:00.000000+0000,157.781,158.688,157.063,158.439,14157600.0,157.821,155.001,151.622,1.624,3.154,2.103,3.767,-0.658,-2.001,-0.727,-1.056,16733900.0,21024100.0,18991500.0,155.454,154.766,156.301,0.003907295688731268,1
2024-09-17T04:00:00.000000+0000,159.535,161.03,158.857,159.724,12064800.0,158.439,157.821,155.001,2.172,1.624,3.154,2.103,-0.189,-0.658,-2.001,-0.727,14157600.0,16733900.0,21024100.0,156.947,155.842,156.641,0.008080952042923454,1
2024-09-18T04:00:00.000000+0000,160.292,161.07,159.106,160.252,16756500.0,159.724,158.439,157.821,1.963,2.172,1.624,3.154,0.04,-0.189,-0.658,-2.001,12064800.0,14157600.0,16733900.0,158.335,156.979,157.132,0.003301197853531916,1
2024-09-19T04:00:00.000000+0000,164.248,164.418,161.958,162.674,17548200.0,160.252,159.724,158.439,2.459,1.963,2.172,1.624,1.575,0.04,-0.189,-0.658,16756500.0,12064800.0,14157600.0,159.294,157.938,157.628,0.014998038807898337,1
2024-09-20T04:00:00.000000+0000,163.949,164.179,162.614,164.069,46362700.0,162.674,160.252,159.724,1.565,2.459,1.963,2.172,-0.12,1.575,0.04,-0.189,17548200.0,16756500.0,12064800.0,160.984,159.325,158.431,0.008539739374362539,1
2024-09-23T04:00:00.000000+0000,164.767,166.032,162.385,162.505,15648400.0,164.069,162.674,160.252,3.647,1.565,2.459,1.963,2.262,-0.12,1.575,0.04,46362700.0,17548200.0,16756500.0,162.526,160.714,159.328,-0.009581647795701212,0
2024-09-24T04:00:00.000000+0000,163.68,163.979,161.468,163.073,18774100.0,162.505,164.069,162.674,2.511,3.647,1.565,2.459,0.608,2.262,-0.12,1.575,15648400.0,46362700.0,17548200.0,162.516,161.239,159.834,0.0034892444691847777,1
2024-09-25T04:00:00.000000+0000,162.405,163.648,162.211,162.425,13607900.0,163.073,162.505,164.069,1.437,2.511,3.647,1.565,-0.02,0.608,2.262,-0.12,18774100.0,15648400.0,46362700.0,162.794,161.776,160.349,-0.00397997993369287,0
2024-09-26T04:00:00.000000+0000,164.458,164.926,162.933,163.262,18234500.0,162.425,163.073,162.505,1.993,1.437,2.511,3.647,1.196,-0.02,0.608,2.262,13607900.0,18774100.0,15648400.0,162.609,161.966,160.679,0.005140423448863573,1
2024-09-27T04:00:00.000000+0000,163.342,166.391,163.262,164.717,13604300.0,163.262,162.425,163.073,3.129,1.993,1.437,2.511,-1.375,1.196,-0.02,0.608,18234500.0,13607900.0,18774100.0,162.936,162.346,161.09,0.008872224188940021,1
